br1 br2 eb1 eb2 pog1 pog2 pz1 pz2 zol1 zol2
1.795 2.903 0.171 0.69 2.595 1.935 0.685 0.02 0.474 1.114
3.212 4.556 2.256 2.077 4.054 4.398 0.896 1.408 2.469 2.453
3.253 3.419 0.651 0.419 0.891 1.721 4.095 3.777 3.327 3.166
3.721 3.74 2.63 2.521 0.627 0.412 1.592 2.24 4.61 4.183
2.231 4.813 0.207 1.999 2.556 2.322 1.499 1.409 2.053 2.346
3.272 3.561 1.587 1.482 2.252 2.948 0.911 0.895 2.196 2.463
2.504 3.055 0.234 1.05 2.448 2.364 2.085 2.21 3.227 2.999
4.101 3.756 0.649 1.555 2.566 2.026 4.6 3.638 2.335 0.854
3.259 5.54 1.47 1.456 5.739 3.538 1.595 2.504 2.43 3.066
3.149 4.465 1.434 1.335 4.857 3.467 2.308 2.35 2.822 4.012
3.132 3.736 1.875 2.448 1.655 2.248 1.234 1.315 1.255 1.304
2.557 3.29 0.421 0.647 3.985 2.611 1.467 1.239 2.819 2.129
3.595 4.328 1.051 2.363 3.829 2.808 2.275 2.017 2.636 3.677
3.297 3.553 0.653 0.776 2.889 1.548 1.473 1.432 2.87 2.451
1.224 2.769 0.879 1.91 2.686 1.655 1.797 1.377 1.345 1.888
2.42 2.606 1.148 2.122 3.241 2.545 3.504 2.03 2.015 2.032
1.174 4.275 0.93 1.928 3.045 2.108 2.086 1.522 3.23 3.459
2.343 4.005 0.806 0.939 3.065 0.7 0.209 0.03 1.558 2.541
3.871 2.016 0.032 2.936 2.996 2.051 3.202 2.952 4.033 3.182
4.078 4.902 1.116 1.436 6.571 4.783 3.821 2.041 4.457 3.845
1.945 3.248 1.052 0.258 2.184 1.515 1.869 1.542 2.028 1.669
3.449 2.834 1.429 2.116 1.567 1.581 0.782 1.032 3.636 3.204
2.206 4.846 2.13 1.419 2.781 4.299 1.892 2.109 3.161 3.218
2.599 3.012 1.808 1.462 4.044 2.248 -0.056 0.763 1.798 1.839
2.055 4.608 2.357 2.851 5.513 4.134 1.718 1.834 3.513 3.245
3.36 3.951 0.78 0.573 2.487 2.166 1.108 1.29 2.493 2.166
2 3.729 2.616 2.101 1.42 2.018 2.082 2.727 2.681 2.574
2.995 3.123 1.425 1.971 1.293 2.577 1.151 1.393 0.684 1.001
3.095 4.074 1.058 2.167 3.564 3.105 1.899 2.116 3.73 3.376
3.513 3.435 1.531 1.364 2.233 1.544 0.856 0.577 2.602 3.038
1.795 4.069 1.98 2.045 2.83 2.71 0.973 1.402 4.161 2.539
3.948 3.631 2.058 3.194 2.487 1.565 6.491 3.806 3.773 4.397
2.143 4.641 1.137 2.892 0.95 0.453 1.986 1.318 2.431 2.531
2.853 4.222 2.388 1.918 1.812 2.726 1.453 2.371 2.459 2.976
2.815 3.797 1.9 1.497 2.517 2.43 1.805 2.092 2.451 2.089
3.093 3.073 1.45 1.685 3.868 3.064 0.571 1.222 1.081 2.528
3.426 4.627 1.371 2.837 5.631 5.024 3.832 2.901 6.479 4.728
3.036 4.097 1.027 1.588 2.977 0.955 0.241 0.911 0.965 2.118
2.199 2.339 1.319 1.709 0.65 0.724 0.706 1.679 1.597 1.821
2.426 4.662 1.08 1.091 3.651 3.163 1.789 1.876 4.084 2.996
3.627 3.626 1.212 1.283 2.428 1.145 1.907 3.079 1.74 1.53
3.113 3.071 1.681 1.164 2.125 1.647 1.139 2.027 2.303 2.849
2.253 3.324 1.668 1.644 1.371 1.886 0.458 0.269 4.908 3.544
2.636 3.826 0.801 2.026 0.783 1.211 0.603 1.18 3.465 3.106
2.458 6.236 0.979 1.611 1.998 0.296 1.307 1.873 3.307 2.431
2.952 2.286 0.795 1.901 1.889 0.848 1.118 0.79 2.258 2.881
3.746 4.043 1.492 1.477 2.987 1.853 3.773 2.302 1.507 2.029
2.777 3.033 0.969 1.024 1.616 0.445 1.551 1.899 1.857 1.918
2.577 2.762 1.01 0.979 3.271 1.861 1.368 1.526 0.995 0.242
3.795 4.485 1.503 1.512 3.515 1.73 2.451 1.615 2.771 2.798
1.979 4.133 1.141 1.327 1.939 1.96 1.032 0.553 2.168 1.042
3.815 3.114 0.953 0.574 5.193 2.635 1.645 3.623 3.313 4.03
5.374 3.916 1.904 2.413 3.349 2.71 2.53 3.398 3.23 2.397
1.317 3.438 1.789 1.968 3.427 3.179 1.232 1.193 -0.321 2.659
3.424 3.606 0.789 2.643 2.595 3.303 2.426 2.616 2.28 3.024
0.46 2.753 0.613 1.262 0.245 0.099 0.443 0.504 0.404 0.738
2.202 2.964 1.39 2.023 3.633 1.672 0.791 1.108 2.169 2.091
3.312 4.001 0.978 1.132 2.712 3.747 1.187 2.015 2.658 3.151
3.885 2.453 1.937 1.8 3.987 2.948 1.162 0.392 3.378 3.678
2.366 3.809 1.198 1.709 2.382 2.199 1.83 1.429 2.924 2.973
2.449 3.305 1.201 0.815 0.401 1.326 1.813 2.797 1.854 1.784
3.993 4.796 1.094 1.472 5.591 4.53 2.848 2.28 4.501 4.234
3.46 3.654 -0.618 1.164 2.088 0.461 1.702 0.633 3.645 3.989
4.094 4.345 1.105 1.641 3.398 2.273 1.2 1.778 3.967 3.529
2.524 3.444 2.213 1.642 1.273 1.021 1.729 1.573 1.646 1.307
3.332 3.601 0.425 1.801 4.191 0.98 0.892 0.761 2.163 2.445
4.488 3.944 0.637 1.705 1.009 2.479 1.76 2.228 4.358 5.398
1.259 3.947 2.356 1.803 1.958 2.074 2.409 2.371 2.608 2.477
2.641 5.421 2.107 1.71 4.886 3.195 4.039 3.646 4.74 6.36
2.924 1.734 1.457 1.069 1.342 2.397 1.536 0.952 2.643 1.044
3.211 2.907 0.741 1.127 2.664 1.985 1.129 0.123 2.133 3.349
3.399 2.748 2.478 4.705 3.848 1.368 2.27 0.712 2.311 2.438
4.422 6.172 1.019 3.504 2.947 1.68 0.492 0.31 5.325 4.59
1.396 3.607 1.051 2.187 3.378 3.064 1.544 1.525 3.289 2.224
3.749 4.431 1.033 1.832 3.594 3.319 0.898 0.986 1.615 1.661
3.701 3.245 1.891 2.51 4.377 3.961 1.439 0.645 4.753 4.495
2.488 3.522 0.621 2.793 4.679 2.397 5.863 4.254 3.358 4.03
4.226 3.473 0.93 2.877 4.534 1.491 2.297 0.974 3.775 3.873
0.686 3.009 2.011 1.953 3.398 2.693 1.893 1.509 2.962 3.171
2.778 2.36 0.506 0.876 0.196 1.095 0.452 0.964 1.081 3.606
4.62 4.169 2.216 2.234 7.785 4.406 3.219 2.605 1.439 2.296
2.727 4.079 1.461 2.713 1.929 2.868 1.121 1.571 3.159 2.823
2.79 3.769 3.005 3.236 4.025 2.199 1.633 2.271 3.562 2.014
1.675 2.918 0.432 1.213 1.155 0.502 1.162 0.957 0.336 2.502
3.239 3.134 2.192 3.276 2.703 2.405 2.547 1.084 3.886 5.01
1.998 3.396 1.5 0.844 3.594 2.082 1.968 2.827 3.648 2.531
3.589 3.406 2.159 2.281 4.269 2.15 1.444 2.216 3.391 3.357
2.593 2.832 1.696 1.941 2.615 1.005 1.898 1.528 0.289 0.825
1.114 3.95 2.475 2.107 2.615 1.902 1.37 1.827 2.419 2.564
3.871 3.572 1.328 1.674 1.821 1.077 2.565 1.544 3.342 3.335
2.776 3.009 1.61 2.781 1.626 2.619 5.507 3.45 3.135 3.76
2.901 4.327 0.262 2.247 3.251 3.503 2.64 1.643 1.388 1.988
4.379 3.98 1.614 2.269 3.731 2.85 1.13 0.574 1.979 1.864
3.258 3.174 1.6 1.883 2.468 1.474 2.42 2.339 2.224 -0.096
4.216 4.817 2.193 2.083 4.642 3.508 2.859 2.631 3.398 3.884
2.885 1.233 0.484 1.678 4.7 1.359 3.945 3.218 1.317 2.271
3.186 4.048 0.475 1.27 4.064 3.632 3.524 2.668 3.207 3.32
3.167 3.808 0.863 1.139 0.451 0.9 0.875 -0.036 2.541 2.647
4.628 5.047 0.965 1.24 5.758 3.599 -0.143 -0.819 3.255 5.03
3.953 2.683 2.708 2.409 1.586 1.499 1.565 1.034 7.388 7.242
5.005 2.799 1.223 2.068 4.974 4.398 4.887 4.309 4.135 2.636
2.611 3.052 1.518 2.172 2.996 2.506 1.185 1.439 3.048 1.893
2.183 3.564 1.888 1.898 3.861 2.084 0.9 1.505 2.398 2.283
4.642 3.44 0.504 1.552 2.957 3.418 1.961 2.394 2.653 2.304
2.416 3.69 2.621 2.459 4.769 3.486 1.618 2.154 3.299 4.616
4.621 4.726 1.516 2.044 3.76 2.512 2.083 2.453 3.661 4.132
3.344 4.818 0.749 2.388 3.956 3.256 2.507 1.341 2.622 2.823
3.255 4.38 2.175 1.548 5.64 3.163 2.664 2.914 3.265 4.076
2.208 3.299 1.046 1.099 3.515 2.355 1.446 1.315 3.11 2.242
2.752 4.191 1.165 0.464 2.85 1.128 0.106 0.402 3.056 3.047
1.97 3.642 1.075 2.183 1.479 1.688 1.024 1.202 1.679 1.865
3.493 4.091 1.265 1.494 1.586 2.537 0.891 1.08 3.641 3.043
3.724 2.434 1.47 1.467 1.851 1.417 2.903 2.376 3.633 3.346
3.734 3.002 1.186 1.362 4.732 3.492 0.282 0.37 1.803 3.534
3.842 3.986 0.812 0.955 2.389 3.393 1.809 2.739 3.531 2.954
3.38 3.832 1.888 2.427 5.503 3.706 0.048 0.525 3.104 3.716
2.939 4.34 1.264 1.46 3.506 0.519 4.943 3.156 3.311 4.264
2.139 3.98 1.313 1.341 0.93 1.828 0.145 0.186 2.329 1.741
5.361 6.372 2.288 3.452 5.934 3.5 0.155 -0.29 4.011 4.084
2.881 3.415 2.177 2.17 2.801 2.339 3.77 4.046 3.88 3.094
2.769 3.68 0.615 0.908 2.252 -0.272 1.69 2.366 2.191 2.081
2.384 2.807 0.944 1.183 3.339 1.507 0.519 1.3 1.665 2.809
3.45 2.532 0.979 2.046 2.007 1.932 1.179 0.182 1.972 1.965
4.097 4.478 1.984 3.187 4.524 2.78 1.439 1.101 3.25 3.804
2.526 3.746 2.034 3.389 4.407 2.29 3.188 2.218 3.752 2.564
2.153 4.41 2.786 0.519 3.192 2.471 2.694 2.816 3.395 2.215
2.534 2.647 0.985 1.9 2.35 2.248 2.261 1.226 2.15 2.399
2.484 3.599 0.074 0.617 1.782 1.756 1.66 1.692 3.334 3.272
3.017 3.616 1.198 1.697 3.672 2.578 0.323 1.244 1.729 1.926
5.049 5.486 0.579 2.186 3.63 2.578 7.646 3.541 4.398 4.133
1.978 1.968 1.846 1.992 4.113 4.414 0.536 2.005 2.261 2.227
3.585 4.043 1.499 1.908 4.788 2.117 1.035 0.891 4.196 5.154
3.224 4.853 0.758 1.527 6.718 4.917 2.435 2.414 -0.464 3.775
3.198 3.955 0.629 0.53 3.525 2.322 1.514 1.884 1.278 1.664
3.722 3.858 1.756 1.809 2.771 2.479 3.428 2.34 3.419 3.529
3.65 2.912 1.775 1.806 2.468 1.787 1.096 1.389 2.362 2.649
2 4.043 0.811 1.806 3.682 2.141 1.753 1.763 2.428 2.553
4.811 4.301 1.848 0.774 3.457 3.014 3.275 4.273 4.298 4.84
